year_completed,blk_no,street,bldg_contract_town,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units,age_announced,cluster,num_of_blocks,is_demolished
1955.0,5,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,6,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,7,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,8,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,9,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,10,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,11,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,12,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,13,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,14,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,15,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,16,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,17,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,18,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,19,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,20,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,21,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1955.0,22,redhill cl,bm,7.0,0.0,0.0,41.666666666666664,0.14285714285714285,0.0,0.0,41.80952380952381,56.0,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22']",21.0,1
1973.0,167,boon lay dr,jw,11.0,0.0,0.0,106.66666666666667,0.0,1.6666666666666667,0.0,108.33333333333333,38.0,"['167', '168', '169', '170', '171', '172']",6.0,1
1973.0,168,boon lay dr,jw,11.0,0.0,0.0,106.66666666666667,0.0,1.6666666666666667,0.0,108.33333333333333,38.0,"['167', '168', '169', '170', '171', '172']",6.0,1
1973.0,169,boon lay dr,jw,11.0,0.0,0.0,106.66666666666667,0.0,1.6666666666666667,0.0,108.33333333333333,38.0,"['167', '168', '169', '170', '171', '172']",6.0,1
1973.0,170,boon lay dr,jw,11.0,0.0,0.0,106.66666666666667,0.0,1.6666666666666667,0.0,108.33333333333333,38.0,"['167', '168', '169', '170', '171', '172']",6.0,1
1973.0,171,boon lay dr,jw,11.0,0.0,0.0,106.66666666666667,0.0,1.6666666666666667,0.0,108.33333333333333,38.0,"['167', '168', '169', '170', '171', '172']",6.0,1
1973.0,172,boon lay dr,jw,11.0,0.0,0.0,106.66666666666667,0.0,1.6666666666666667,0.0,108.33333333333333,38.0,"['167', '168', '169', '170', '171', '172']",6.0,1
1983.0,1a,woodlands centre rd,wl,4.0,0.0,0.0,71.5,0.0,2.0,0.0,73.5,29.0,"['1a', '2a']",2.0,1
1983.0,2a,woodlands centre rd,wl,4.0,0.0,0.0,71.5,0.0,2.0,0.0,73.5,29.0,"['1a', '2a']",2.0,1
1962.0,24,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,25,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,26,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,27,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,28,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,29,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,30,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,31,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,32,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,33,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,34,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,35,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,36,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,37,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,38,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,40,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,41,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,42,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,43,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,44,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,45,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,55,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,56,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,58,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,59,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,60,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,62,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,63,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,64,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,65,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1962.0,66,tanglin halt rd,qt,9.5,0.0,27.0,81.90322580645162,3.3548387096774195,0.0,0.0,112.25806451612904,52.0,"['24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '44', '45', '55', '56', '58', '59', '60', '62', '63', '64', '65', '66']",31.0,1
1979.0,513,west coast rd,cl,9.33,0.0,0.0,105.375,17.5,0.5,0.0,123.375,37.0,"['513', '514', '515', '516', '517', '518', '519', '520']",8.0,1
1979.0,514,west coast rd,cl,9.33,0.0,0.0,105.375,17.5,0.5,0.0,123.375,37.0,"['513', '514', '515', '516', '517', '518', '519', '520']",8.0,1
1979.0,515,west coast rd,cl,9.33,0.0,0.0,105.375,17.5,0.5,0.0,123.375,37.0,"['513', '514', '515', '516', '517', '518', '519', '520']",8.0,1
1979.0,516,west coast rd,cl,9.33,0.0,0.0,105.375,17.5,0.5,0.0,123.375,37.0,"['513', '514', '515', '516', '517', '518', '519', '520']",8.0,1
1979.0,517,west coast rd,cl,9.33,0.0,0.0,105.375,17.5,0.5,0.0,123.375,37.0,"['513', '514', '515', '516', '517', '518', '519', '520']",8.0,1
1979.0,518,west coast rd,cl,9.33,0.0,0.0,105.375,17.5,0.5,0.0,123.375,37.0,"['513', '514', '515', '516', '517', '518', '519', '520']",8.0,1
1979.0,519,west coast rd,cl,9.33,0.0,0.0,105.375,17.5,0.5,0.0,123.375,37.0,"['513', '514', '515', '516', '517', '518', '519', '520']",8.0,1
1979.0,520,west coast rd,cl,9.33,0.0,0.0,105.375,17.5,0.5,0.0,123.375,37.0,"['513', '514', '515', '516', '517', '518', '519', '520']",8.0,1
